coordinate_system,coordinate_a,coordinate_b,name
fk4,05 31 30,21 58 00,Crab
fk4,05 32 48,-5 27 00,Orion
fk4,05 42 00,-1 00 00,S8
fk4,23 21 12,58 44 00,Cass
fk4,17 42 54,-28 50 00,SgrA
fk4,06 29 12,04 57 00,Rosett
fk4,18 17 30,-16 18 00,M17
fk4,20 27 00,41 00 00,CygEMN
fk4,21 12 00,48 00 00,G90
fk4,05 40 00,29 00 00,G180
fk4,12 48 00,28 00 00,GNpole
fk4,00 39 00,40 30 00,Androm
fk4,05 14 12,18 44 00,AC1
fk4,03 29 00,54 00 00,PULSAR
fk4,08 30 00,-45 00 00,PS
galactic,10,1,RC_CLOUD
galactic,00,0,G00
galactic,10,0,G10
galactic,20,0,G20
galactic,30,0,G30
galactic,40,0,G40
galactic,50,0,G50
galactic,60,0,G60
galactic,70,0,G70
galactic,80,0,G80
galactic,90,0,G90
galactic,100,0,G100
galactic,110,0,G110
galactic,120,0,G120
galactic,130,0,G130
galactic,140,0,G140
galactic,150,0,G150
galactic,160,0,G160
galactic,170,0,G170
galactic,180,0,G180
galactic,190,0,G190
galactic,200,0,G200
galactic,210,0,G210
galactic,220,0,G220
galactic,230,0,G230
galactic,240,0,G240
galactic,250,0,G250
galactic,260,0,G260
galactic,270,0,G270
galactic,280,0,G280
galactic,290,0,G290
galactic,300,0,G300
galactic,310,0,G310
galactic,320,0,G320
galactic,330,0,G330
galactic,340,0,G340
galactic,350,0,G350
